date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:19	55343/55343	---M--	200	added ('OK')	image/png	etag:%22e2488201a3d073aff317fe2c3aef631f%22	https://cdn.pixabay.com/photo/2020/07/07/05/18/massage-heart-5379270__480.png	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2020/07/07/05/18/massage-heart-5379270__480.png	(from https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem)
17:50:20	77025/77025	---MCZ	200	added ('OK')	text/html	etag:W/%2212ce1-LA5QX5iBOLM7Waos8jTEx8OfQdE%22	https://massagesalon-haarlem.fast-results.net/page/relax-top-haarlem-relax-massage-Fvt3LxFfa91	C:/My%20Web%20Sites/massagesalon-haarlem/page/relax-top-haarlem-relax-massage-Fvt3LxFfa91.html	(from https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem)
17:50:20	216079/216079	---M--	200	added ('OK')	image/jpeg	etag:%222dc4c4fa263df8b49125b9ac104825dc%22	https://cdn.pixabay.com/photo/2017/09/20/14/58/massage-2768832_1280.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2017/09/20/14/58/massage-2768832_1280.jpg	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-triggerpoint-massage)
17:50:20	77549/77549	---MCZ	200	added ('OK')	text/html	etag:W/%2212eed-6/kKh8O1wgLNN+B0BJwv6kHHvoE%22	https://massagesalon-haarlem.fast-results.net/page/let-go-best-ontspannings-massage-haarlem-AxgUy_BRQZE	C:/My%20Web%20Sites/massagesalon-haarlem/page/let-go-best-ontspannings-massage-haarlem-AxgUy_BRQZE.html	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-triggerpoint-massage)
17:50:20	15772/15772	---M--	200	added ('OK')	image/jpeg	etag:%2263a70e954bfd24370c6416ac56a9e198%22	https://cdn.pixabay.com/photo/2014/07/11/09/03/massage-389727__340.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2014/07/11/09/03/massage-389727__340.jpg	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-triggerpoint-massage)
17:50:21	76497/76497	---MCZ	200	added ('OK')	text/html	etag:W/%2212ad1-3id9kZuvOQer2ksOLlx7Ra431vs%22	https://massagesalon-haarlem.fast-results.net/page/unwind-best-haarlem-cupping-kjZiWi5xUtQ	C:/My%20Web%20Sites/massagesalon-haarlem/page/unwind-best-haarlem-cupping-kjZiWi5xUtQ.html	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-triggerpoint-massage)
17:50:21	39583/39583	---M--	200	added ('OK')	image/jpeg	etag:%2281c5c61dc67a644ea8a3f0b41bab03b9%22	https://cdn.pixabay.com/photo/2018/08/12/21/26/massage-3601814_1280.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2018/08/12/21/26/massage-3601814_1280.jpg	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-triggerpoint-massage)
17:50:21	76411/76411	---MCZ	200	added ('OK')	text/html	etag:W/%2212a7b-HkPa/dyP6gs+9OmfS+eqP8aVrdo%22	https://massagesalon-haarlem.fast-results.net/page/relax-best-haarlem-deep-tissue-massage-hzF41zQo7CW	C:/My%20Web%20Sites/massagesalon-haarlem/page/relax-best-haarlem-deep-tissue-massage-hzF41zQo7CW.html	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-triggerpoint-massage)
17:50:21	22820/22820	---M--	200	added ('OK')	image/jpeg	etag:%22a64c41e44d9ecc606201765cf56cf1cf%22	https://cdn.pixabay.com/photo/2018/11/05/09/54/massage-3795693__480.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2018/11/05/09/54/massage-3795693__480.jpg	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-triggerpoint-massage)
17:50:22	76116/76116	---MCZ	200	added ('OK')	text/html	etag:W/%2212954-9pTrHbiauYR5cSik3TH65xWX48s%22	https://massagesalon-haarlem.fast-results.net/page/unwind-top-massagesalon-haarlem-JKb68Cr0k9E	C:/My%20Web%20Sites/massagesalon-haarlem/page/unwind-top-massagesalon-haarlem-JKb68Cr0k9E.html	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-triggerpoint-massage)
17:50:22	65384/65384	---M--	200	added ('OK')	image/jpeg	etag:%227c5495ee0580cfdffe6713e773bc0e27%22	https://cdn.pixabay.com/photo/2017/03/23/18/38/massage-handle-2169102_1280.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2017/03/23/18/38/massage-handle-2169102_1280.jpg	(from https://massagesalon-haarlem.fast-results.net/categories/relax-massage-haarlem)
17:50:23	77439/77439	---MCZ	200	added ('OK')	text/html	etag:W/%2212e7f-RpNNPlTEAbaKS8s5nZaInWLumvE%22	https://massagesalon-haarlem.fast-results.net/page/unwind-best-holistic-massage-haarlem-4pd08aOdkAb	C:/My%20Web%20Sites/massagesalon-haarlem/page/unwind-best-holistic-massage-haarlem-4pd08aOdkAb.html	(from https://massagesalon-haarlem.fast-results.net/categories/relax-massage-haarlem)
17:50:23	85738/85738	---M--	200	added ('OK')	image/jpeg	etag:%2286842ed04a8ed8454618b27be68a0051%22	https://cdn.pixabay.com/photo/2017/05/22/06/14/massage-2333203_1280.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2017/05/22/06/14/massage-2333203_1280.jpg	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-relax-massage)
17:50:23	76309/76309	---MCZ	200	added ('OK')	text/html	etag:W/%2212a15-eWfmaqIG6Vu6eNCS1Nd6ID/d8G8%22	https://massagesalon-haarlem.fast-results.net/page/de-stress-top-haarlem-sportmassage-Fl7w2rl1AE	C:/My%20Web%20Sites/massagesalon-haarlem/page/de-stress-top-haarlem-sportmassage-Fl7w2rl1AE.html	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-relax-massage)
17:50:24	76481/76481	---MCZ	200	added ('OK')	text/html	etag:W/%2212ac1-eK0yDiTyNktnHGnDi87scL3oyU0%22	https://massagesalon-haarlem.fast-results.net/page/relax-top-ritmische-massage-haarlem-XufP6XXcmN3	C:/My%20Web%20Sites/massagesalon-haarlem/page/relax-top-ritmische-massage-haarlem-XufP6XXcmN3.html	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-relax-massage)
17:50:24	28241/28241	---M--	200	added ('OK')	image/jpeg	etag:%229e6917edaac4f1ed3eddf68552f64e02%22	https://cdn.pixabay.com/photo/2017/01/18/13/26/wellness-1989862__340.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2017/01/18/13/26/wellness-1989862__340.jpg	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-relax-massage)
17:50:24	77044/77044	---MCZ	200	added ('OK')	text/html	etag:W/%2212cf4-f7KnZjRi20bKxEsqFvB4imCbr7k%22	https://massagesalon-haarlem.fast-results.net/page/de-stress-top-haarlem-deep-tissue-massage-BRi8Fglu6oR	C:/My%20Web%20Sites/massagesalon-haarlem/page/de-stress-top-haarlem-deep-tissue-massage-BRi8Fglu6oR.html	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-relax-massage)
17:50:24	188295/188295	---M--	200	added ('OK')	image/jpeg	etag:%227d8d83524411121fd771ded3465b1bb1%22	https://cdn.pixabay.com/photo/2020/01/28/19/59/thai-massage-4800866_1280.jpg	C:/My%20Web%20Sites/massagesalon-haarlem/photo/2020/01/28/19/59/thai-massage-4800866_1280.jpg	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-relax-massage)
17:50:25	77020/77020	---MCZ	200	added ('OK')	text/html	etag:W/%2212cdc-fxKCpvKsUPGMX4eLj7zSEXyVpxE%22	https://massagesalon-haarlem.fast-results.net/page/de-stress-best-triggerpoint-massage-haarlem-VoIVSJOjn2y	C:/My%20Web%20Sites/massagesalon-haarlem/page/de-stress-best-triggerpoint-massage-haarlem-VoIVSJOjn2y.html	(from https://massagesalon-haarlem.fast-results.net/categories/haarlem-relax-massage)
